dist_montante_m;estaca_ras_m;x;y;cota_m;cota_talvegue_m
22350,0;17052,2;410125,87212839216;6741472,010969872;16,260000228881836;14,0
22400,0;17002,2;410087,27500339324;6741503,795587878;14,0;14,0
22450,0;16952,2;410048,67787839426;6741535,580205885;14,0;14,0
22500,0;16902,2;410010,08075339533;6741567,364823891;32,40999984741211;14,0
22550,0;16852,2;409971,4836283964;6741599,149441897;27,329999923706055;14,0
22600,0;16802,2;409932,8865033975;6741630,934059904;21,1200008392334;14,0
22650,0;16752,2;409894,2893783985;6741662,71867791;17,850000381469727;14,0
22700,0;16702,2;409855,6922533996;6741694,503295917;16,049999237060547;14,0
22750,0;16652,2;409817,09512840066;6741726,287913923;15,15999984741211;14,0
22800,0;16602,2;409778,4980034017;6741758,072531929;14,0;14,0
22850,0;16552,2;409739,90087840275;6741789,857149936;14,0;14,0
22900,0;16502,2;409701,30375340383;6741821,641767942;14,0;14,0
22950,0;16452,2;409662,7066284049;6741853,426385949;14,0;14,0
23000,0;16402,2;409624,1095034059;6741885,211003955;14,0;14,0
23050,0;16352,2;409585,512378407;6741916,995621962;14,0;14,0
23100,0;16302,2;409546,9152534081;6741948,780239969;14,0;14,0
